"id";"data_inversa";"dia_semana";"horario";"uf";"br";"km";"municipio";"causa_acidente";"tipo_acidente";"classificacao_acidente";"fase_dia";"sentido_via";"condicao_metereologica";"tipo_pista";"tracado_via";"uso_solo";"pessoas";"mortos";"feridos_leves";"feridos_graves";"ilesos";"ignorados";"feridos";"veiculos";"latitude";"longitude";"regional";"delegacia";"uop"
331693;2021-01-01;"sexta";"00:02:00";"SC";101;"314.9";"LAGUNA";"Ingestão de álcool pelo condutor";"Colisão traseira";"Com Vítimas Feridas";"Plena Noite";"Crescente";"Nublado";"Dupla";"Reta";"Não";3;0;1;0;2;0;1;2;-28,43029392;-48,84925073;"SR-SC";"UOP01";"DEL02"
331694;2021-01-01;"sexta";"00:15:00";"PR";376;"188";"MARIALVA";"Velocidade Incompatível";"Colisão com objeto";"Com Vítimas Feridas";"Plena Noite";"Crescente";"Céu Claro";"Dupla";"Reta";"Não";2;0;2;0;0;0;2;1;-23,46634923;-51,82808011;"SR-PR";"UOP01";"DEL09"
331696;2021-01-01;"sexta";"00:00:00";"SP";116;"110.6";"TAUBATE";"Demais falhas mecânicas ou elétricas";"Incêndio";"Sem Vítimas";"Plena Noite";"Crescente";"Nublado";"Dupla";"Reta";"Sim";1;0;0;0;1;0;0;1;-23,03412614;-45,5526999;"SR-SP";"UOP01";"DEL06"
331699;2021-01-01;"sexta";"01:20:00";"SC";101;"111";"NAVEGANTES";"Manobra de mudança de faixa";"Colisão lateral";"Com Vítimas Feridas";"Plena Noite";"Crescente";"Nublado";"Múltipla";"Curva";"Sim";3;0;2;0;1;0;2;2;-26,83955734;-48,71418074;"SR-SC";"UOP04";"DEL04"
331701;2021-01-01;"sexta";"00:30:00";"PE";101;"45.1";"IGARASSU";"Reação tardia ou ineficiente do condutor";"Colisão traseira";"Com Vítimas Feridas";"Plena Noite";"Decrescente";"Chuva";"Múltipla";"Desvio Temporário";"Sim";2;0;0;1;1;0;1;2;-7,86521297;-34,90715176;"SR-PE";"UOP02";"DEL01"
331702;2021-01-01;"sexta";"01:20:00";"BA";116;"0";"VITORIA DA CONQUISTA";"Velocidade Incompatível";"Saída de leito carroçável";"Com Vítimas Feridas";"Plena Noite";"Decrescente";"Céu Claro";"Simples";"Viaduto";"Sim";2;0;1;0;1;0;1;1;-14,82741339;-40,82885465;"SR-BA";"UOP01";"DEL08"
331703;2021-01-01;"sexta";"01:35:00";"PR";376;"596";"CURITIBA";"Iluminação deficiente";"Saída de leito carroçável";"Sem Vítimas";"Plena Noite";"Crescente";"Chuva";"Dupla";"Reta";"Sim";1;0;0;0;1;0;0;1;-25,50194708;-49,3415524;"SR-PR";"UOP01";"DEL01"
331704;2021-01-01;"sexta";"00:45:00";"BA";407;"112";"JAGUARARI";"Condutor Dormindo";"Colisão lateral";"Sem Vítimas";"Plena Noite";"Crescente";"Nublado";"Simples";"Reta";"Não";2;0;0;0;2;0;0;2;-10,333475;-40,16767292;"SR-BA";"UOP01";"DEL04"
331706;2021-01-01;"sexta";"00:15:00";"RJ";393;"282.8";"VOLTA REDONDA";"Ausência de reação do condutor";"Saída de leito carroçável";"Sem Vítimas";"Plena Noite";"Decrescente";"Nublado";"Simples";"Curva";"Não";1;0;0;0;0;1;0;1;-22,48082784;-44,04047201;"SR-RJ";"UOP02";"DEL05"
331707;2021-01-01;"sexta";"01:38:00";"RS";153;"47.5";"ERECHIM";"Ingestão de álcool pelo condutor";"Saída de leito carroçável";"Com Vítimas Feridas";"Plena Noite";"Decrescente";"Céu Claro";"Simples";"Desvio Temporário";"Sim";1;0;0;1;0;0;1;1;-27,64530366;-52,24998023;"SR-RS";"UOP04";"DEL08"
331708;2021-01-01;"sexta";"01:00:00";"MG";116;"79.1";"MEDINA";"Condutor Dormindo";"Saída de leito carroçável";"Sem Vítimas";"Plena Noite";"Decrescente";"Céu Claro";"Dupla";"Não Informado";"Não";1;0;0;0;1;0;0;1;-16,27388596;-41,48212392;"SR-MG";"UOP02";"DEL11"
331709;2021-01-01;"sexta";"02:00:00";"DF";40;"7.8";"BRASILIA";"Reação tardia ou ineficiente do condutor";"Atropelamento de Pedestre";"Com Vítimas Feridas";"Plena Noite";"Crescente";"Nublado";"Dupla";"Reta";"Sim";2;0;1;1;0;0;2;1;-16,038666;-47,979691;"SR-DF";"UOP01";"DEL01"
331710;2021-01-01;"sexta";"02:53:00";"SP";116;"215";"GUARULHOS";"Condutor deixou de manter distância do veículo da frente";"Colisão traseira";"Com Vítimas Feridas";"Plena Noite";"Decrescente";"Céu Claro";"Múltipla";"Reta";"Sim";8;0;7;0;1;0;7;2;-23,44695693;-46,45394103;"SR-SP";"UOP01";"DEL01"
331711;2021-01-01;"sexta";"02:45:00";"BA";135;"169";"BARREIRAS";"Transitar na contramão";"Colisão frontal";"Com Vítimas Feridas";"Plena Noite";"Crescente";"Céu Claro";"Dupla";"Rotatória";"Não";2;0;1;0;1;0;1;2;-12,10099045;-44,9774909;"SR-BA";"UOP01";"DEL10"
331712;2021-01-01;"sexta";"02:19:00";"RJ";116;"281";"BARRA MANSA";"Pedestre andava na pista";"Atropelamento de Pedestre";"Com Vítimas Fatais";"Plena Noite";"Decrescente";"Nevoeiro/Neblina";"Dupla";"Reta";"Não";2;1;0;0;1;0;0;1;-22,53244798;-44,19565304;"SR-RJ";"UOP02";"DEL07"
331714;2021-01-01;"sexta";"03:15:00";"SE";101;"9";"CEDRO DE SAO JOAO";"Condutor Dormindo";"Capotamento";"Com Vítimas Feridas";"Plena Noite";"Decrescente";"Céu Claro";"Dupla";"Reta";"Não";1;0;1;0;0;0;1;1;-10,27168159;-36,8698989;"SR-SE";"UOP02";"DEL02"
331715;2021-01-01;"sexta";"03:30:00";"PR";376;"489.9";"PONTA GROSSA";"Velocidade Incompatível";"Saída de leito carroçável";"Com Vítimas Feridas";"Amanhecer";"Decrescente";"Céu Claro";"Dupla";"Reta";"Não";1;0;0;1;0;0;1;1;-25,14172584;-50,1586859;"SR-PR";"UAP01";"DEL03"
331716;2021-01-01;"sexta";"03:30:00";"PE";104;"91.6";"AGRESTINA";"Condutor Dormindo";"Colisão frontal";"Com Vítimas Fatais";"Plena Noite";"Crescente";"Chuva";"Simples";"Reta";"Não";2;1;0;0;1;0;0;2;-8,487702;-35,946243;"SR-PE";"UOP01";"DEL02"
331717;2021-01-01;"sexta";"03:30:00";"PR";163;"182.9";"SANTA TEREZA DO OESTE";"Condutor Dormindo";"Saída de leito carroçável";"Com Vítimas Feridas";"Plena Noite";"Decrescente";"Nublado";"Dupla";"Curva";"Não";4;0;3;1;0;0;4;1;-25,15864601;-53,59746064;"SR-PR";"UOP04";"DEL04"
331718;2021-01-01;"sexta";"02:00:00";"PE";316;"55";"TRINDADE";"Animais na Pista";"Atropelamento de Animal";"Com Vítimas Fatais";"Plena Noite";"Decrescente";"Céu Claro";"Simples";"Reta";"Não";2;1;0;1;0;0;1;1;-7,74026268;-40,28663631;"SR-PE";"UOP02";"DEL05"
331719;2021-01-01;"sexta";"04:15:00";"SP";116;"279";"EMBU DAS ARTES";"Manobra de mudança de faixa";"Colisão lateral";"Sem Vítimas";"Amanhecer";"Decrescente";"Céu Claro";"Dupla";"Reta";"Não";4;0;0;0;4;0;0;2;-23,64425;-46,83963;"SR-SP";"UOP01";"DEL04"
331721;2021-01-01;"sexta";"03:50:00";"PR";277;"18.9";"MORRETES";"Ingestão de álcool pelo condutor";"Colisão com objeto";"Sem Vítimas";"Plena Noite";"Crescente";"Chuva";"Dupla";"Reta";"Não";1;0;0;0;1;0;0;1;-25,55920652;-48,64995003;"SR-PR";"UOP05";"DEL01"
331722;2021-01-01;"sexta";"04:10:00";"ES";101;"52.7";"SAO MATEUS";"Condutor deixou de manter distância do veículo da frente";"Colisão traseira";"Sem Vítimas";"Plena Noite";"Crescente";"Céu Claro";"Simples";"Reta";"Não";2;0;0;0;2;0;0;2;-18,60327989;-39,88710063;"SR-ES";"UOP02";"DEL04"
331724;2021-01-01;"sexta";"04:25:00";"PE";316;"269.9";"BELEM DE SAO FRANCISCO";"Ingestão de álcool pelo condutor";"Tombamento";"Com Vítimas Fatais";"Amanhecer";"Crescente";"Céu Claro";"Simples";"Reta";"Não";1;1;0;0;0;0;0;1;-8,70166228;-38,8611809;"SR-PE";"UOP02";"DEL04"
331725;2021-01-01;"sexta";"04:15:00";"MG";116;"413.4";"GOVERNADOR VALADARES";"Velocidade Incompatível";"Capotamento";"Com Vítimas Fatais";"Amanhecer";"Crescente";"Céu Claro";"Simples";"Reta";"Sim";3;1;2;0;0;0;2;1;-18,873907;-41,966366;"SR-MG";"UOP01";"DEL06"
331726;2021-01-01;"sexta";"04:30:00";"SP";153;"1.8";"ICEM";"Ausência de reação do condutor";"Saída de leito carroçável";"Com Vítimas Feridas";"Plena Noite";"Decrescente";"Nublado";"Simples";"Desvio Temporário";"Não";1;0;1;0;0;0;1;1;-20,31427991;-49,20946944;"SR-SP";"UOP01";"DEL09"
331727;2021-01-01;"sexta";"04:00:00";"SP";116;"1";"GUARULHOS";"Velocidade Incompatível";"Saída de leito carroçável";"Com Vítimas Feridas";"Plena Noite";"Decrescente";"Nublado";"Dupla";"Reta";"Sim";1;0;1;0;0;0;1;1;-23,450439;-46,488911;"SR-SP";"UOP02";"DEL08"
331728;2021-01-01;"sexta";"05:15:00";"DF";60;"3.7";"BRASILIA";"Condutor Dormindo";"Saída de leito carroçável";"Com Vítimas Feridas";"Amanhecer";"Crescente";"Céu Claro";"Dupla";"Reta";"Sim";1;0;0;1;0;0;1;1;-15,890521;-48,086864;"SR-DF";"UOP02";"DEL01"
331729;2021-01-01;"sexta";"03:50:00";"RJ";101;"68";"CAMPOS DOS GOYTACAZES";"Condutor Dormindo";"Colisão frontal";"Com Vítimas Feridas";"Amanhecer";"Crescente";"Nublado";"Simples";"Reta";"Sim";5;0;4;0;1;0;4;2;-21,77186768;-41,35705017;"SR-RJ";"UOP02";"DEL08"
331730;2021-01-01;"sexta";"05:30:00";"SP";116;"453";"REGISTRO";"Reação tardia ou ineficiente do condutor";"Tombamento";"Com Vítimas Feridas";"Amanhecer";"Crescente";"Nublado";"Dupla";"Curva";"Não";1;0;1;0;0;0;1;1;-24,56168114;-47,86752174;"SR-SP";"UOP01";"DEL05"
331731;2021-01-01;"sexta";"05:50:00";"MG";40;"439";"PARAOPEBA";"Velocidade Incompatível";"Saída de leito carroçável";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Céu Claro";"Dupla";"Não Informado";"Não";2;0;2;0;0;0;2;1;-19,23100428;-44,43562244;"SR-MG";"UOP01";"DEL02"
331732;2021-01-01;"sexta";"05:00:00";"SC";101;"369";"ICARA";"Ingestão de álcool pelo condutor";"Saída de leito carroçável";"Com Vítimas Feridas";"Amanhecer";"Decrescente";"Nublado";"Dupla";"Reta";"Não";1;0;1;0;0;0;1;1;-28,69775604;-49,182934;"SR-SC";"UOP01";"DEL02"
331733;2021-01-01;"sexta";"06:00:00";"PR";277;"3";"PARANAGUA";"Velocidade Incompatível";"Capotamento";"Com Vítimas Feridas";"Amanhecer";"Decrescente";"Nublado";"Simples";"Reta";"Sim";1;0;0;1;0;0;1;1;-25,5414035;-48,55912011;"SR-PR";"UOP05";"DEL01"
331777;2021-01-01;"sexta";"05:50:00";"RJ";116;"166.7";"SAO JOAO DE MERITI";"Velocidade Incompatível";"Colisão com objeto";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Céu Claro";"Dupla";"Reta";"Sim";1;0;1;0;0;0;1;1;-22,80231617;-43,34901117;"SR-RJ";"UOP01";"DEL01"
331778;2021-01-01;"sexta";"05:50:00";"PR";376;"654";"TIJUCAS DO SUL";"Condutor Dormindo";"Saída de leito carroçável";"Sem Vítimas";"Pleno dia";"Decrescente";"Chuva";"Dupla";"Reta";"Não";1;0;0;0;1;0;0;1;-25,84325961;-49,05169114;"SR-PR";"UOP04";"DEL01"
331779;2021-01-01;"sexta";"04:40:00";"BA";101;"120";"ALAGOINHAS";"Animais na Pista";"Atropelamento de Animal";"Com Vítimas Feridas";"Amanhecer";"Crescente";"Céu Claro";"Simples";"Reta";"Não";1;0;0;1;0;0;1;1;-12,16103619;-38,5648919;"SR-BA";"UOP04";"DEL01"
331780;2021-01-01;"sexta";"06:45:00";"SP";153;"183.3";"LINS";"Ingestão de álcool pelo condutor";"Colisão traseira";"Sem Vítimas";"Amanhecer";"Crescente";"Nublado";"Simples";"Interseção de vias";"Não";4;0;0;0;3;1;0;2;-21,70613053;-49,80087519;"SR-SP";"UOP01";"DEL07"
331781;2021-01-01;"sexta";"04:30:00";"RJ";465;"2";"SEROPEDICA";"Objeto estático sobre o leito carroçável";"Colisão frontal";"Com Vítimas Feridas";"Plena Noite";"Crescente";"Ignorado";"Simples";"Reta";"Sim";2;0;0;1;1;0;1;2;-22,719835;-43,725739;"SR-RJ";"UOP03";"DEL01"
331782;2021-01-01;"sexta";"06:45:00";"SE";101;"197";"CRISTINAPOLIS";"Ingestão de álcool pelo condutor";"Tombamento";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Céu Claro";"Simples";"Reta";"Sim";2;0;0;1;1;0;1;1;-11,46981308;-37,74693679;"SR-SE";"UOP03";"DEL02"
331783;2021-01-01;"sexta";"00:20:00";"RS";392;"0.8";"RIO GRANDE";"Ingestão de álcool pelo condutor";"Colisão frontal";"Com Vítimas Feridas";"Plena Noite";"Decrescente";"Céu Claro";"Simples";"Reta";"Sim";2;0;0;1;1;0;1;2;-32,04438705;-52,08261967;"SR-RS";"UOP02";"DEL07"
331785;2021-01-01;"sexta";"05:20:00";"RS";153;"411";"CACHOEIRA DO SUL";"Velocidade Incompatível";"Saída de leito carroçável";"Com Vítimas Feridas";"Amanhecer";"Crescente";"Céu Claro";"Simples";"Reta";"Não";1;0;1;0;0;0;1;1;-30,0595857;-52,90500641;"SR-RS";"UOP03";"DEL02"
331787;2021-01-01;"sexta";"07:00:00";"ES";101;"20.9";"PEDRO CANARIO";"Velocidade Incompatível";"Colisão com objeto";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Céu Claro";"Simples";"Desvio Temporário";"Não";1;0;0;1;0;0;1;1;-18,32561;-39,9584401;"SR-ES";"UOP02";"DEL04"
331788;2021-01-01;"sexta";"05:15:00";"SC";101;"150.8";"ITAPEMA";"Ingestão de álcool pelo condutor";"Colisão traseira";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Nublado";"Dupla";"Reta";"Sim";5;0;3;0;2;0;3;2;-27,11744799;-48,60940987;"SR-SC";"UOP03";"DEL04"
331789;2021-01-01;"sexta";"06:10:00";"GO";20;"0";"FORMOSA";"Ingestão de álcool pelo condutor";"Colisão traseira";"Sem Vítimas";"Pleno dia";"Crescente";"Céu Claro";"Dupla";"Não Informado";"Não";2;0;0;0;2;0;0;2;-15,581744;-47,343241;"SR-DF";"UOP01";"DEL02"
331790;2021-01-01;"sexta";"06:20:00";"GO";153;"514.3";"APARECIDA DE GOIANIA";"Velocidade Incompatível";"Colisão transversal";"Com Vítimas Feridas";"Amanhecer";"Decrescente";"Céu Claro";"Dupla";"Interseção de vias";"Sim";2;0;2;0;0;0;2;2;-16,8315;-49,2434;"SR-GO";"UOP03";"DEL01"
331791;2021-01-01;"sexta";"03:50:00";"MG";116;"464.6";"TARUMIRIM";"Demais falhas mecânicas ou elétricas";"Saída de leito carroçável";"Com Vítimas Feridas";"Plena Noite";"Crescente";"Nublado";"Simples";"Reta";"Não";1;0;1;0;0;0;1;1;-19,26865202;-42,06569594;"SR-MG";"UOP02";"DEL06"
331792;2021-01-01;"sexta";"07:30:00";"PR";NA;"";"GUAIRA";"Condutor Dormindo";"Saída de leito carroçável";"Com Vítimas Feridas";"Pleno dia";"Não Informado";"Céu Claro";"Simples";"Reta";"Não";1;0;0;1;0;0;1;1;-24,2101882;-54,19948708;"SR-PR";"UOP01";"DEL06"
331793;2021-01-01;"sexta";"05:30:00";"SC";280;"16";"ARAQUARI";"Velocidade Incompatível";"Saída de leito carroçável";"Com Vítimas Feridas";"Plena Noite";"Decrescente";"Chuva";"Simples";"Reta";"Não";1;0;1;0;0;0;1;1;-26,34467188;-48,65698814;"SR-SC";"UOP03";"DEL03"
331794;2021-01-01;"sexta";"07:45:00";"PR";277;"6";"PARANAGUA";"Velocidade Incompatível";"Capotamento";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Garoa/Chuvisco";"Dupla";"Reta";"Não";2;0;0;1;1;0;1;1;-25,56056156;-48,58351707;"SR-PR";"UOP05";"DEL01"
331795;2021-01-01;"sexta";"08:05:00";"SP";116;"230";"SAO PAULO";"Ingestão de álcool e/ou substâncias psicoativas pelo pedestre";"Atropelamento de Pedestre";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Céu Claro";"Múltipla";"Reta";"Sim";2;0;0;1;1;0;1;1;-23,52251783;-46,5855702;"SR-SP";"UOP01";"DEL01"
331797;2021-01-01;"sexta";"05:45:00";"RJ";40;"88";"PETROPOLIS";"Condutor Dormindo";"Colisão com objeto";"Com Vítimas Feridas";"Amanhecer";"Decrescente";"Nublado";"Simples";"Curva";"Não";1;0;1;0;0;0;1;1;-22,56055872;-43,22712421;"SR-RJ";"UOP03";"DEL06"
331798;2021-01-01;"sexta";"07:40:00";"PR";476;"119";"COLOMBO";"Velocidade Incompatível";"Tombamento";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Sol";"Dupla";"Reta";"Sim";1;0;1;0;0;0;1;1;-25,364202;-49,185825;"SR-PR";"UOP02";"DEL01"
331800;2021-01-01;"sexta";"08:30:00";"MG";381;"913";"CAMANDUCAIA";"Velocidade Incompatível";"Saída de leito carroçável";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Chuva";"Dupla";"Não Informado";"Não";1;0;1;0;0;0;1;1;-22,75390001;-46,146503;"SR-MG";"UOP03";"DEL16"
331801;2021-01-01;"sexta";"04:50:00";"MT";70;"327";"DOM AQUINO";"Ingestão de álcool pelo condutor";"Saída de leito carroçável";"Sem Vítimas";"Amanhecer";"Decrescente";"Céu Claro";"Simples";"Reta";"Não";1;0;0;0;1;0;0;1;-15,51048988;-54,68037798;"SR-MT";"UOP01";"DEL05"
331804;2021-01-01;"sexta";"08:05:00";"AM";174;"937";"MANAUS";"Reação tardia ou ineficiente do condutor";"Colisão traseira";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Céu Claro";"Simples";"Reta";"Não";6;0;1;0;5;0;1;4;-2,508068;-60,036434;"SR-AM";"UOP01";"DEL01"
331805;2021-01-01;"sexta";"10:00:00";"PE";232;"29.3";"MORENO";"Entrada inopinada do pedestre";"Atropelamento de Pedestre";"Com Vítimas Fatais";"Pleno dia";"Crescente";"Céu Claro";"Dupla";"Reta";"Não";3;1;0;0;2;0;0;1;-8,111269;-35,143135;"SR-PE";"UOP04";"DEL01"
331807;2021-01-01;"sexta";"10:25:00";"GO";40;"19";"LUZIANIA";"Ingestão de álcool pelo condutor";"Saída de leito carroçável";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Céu Claro";"Dupla";"Reta";"Sim";1;0;1;0;0;0;1;1;-16,201556;-47,921314;"SR-DF";"UOP01";"DEL01"
331808;2021-01-01;"sexta";"05:10:00";"MT";364;"205";"RONDONOPOLIS";"Falta de elemento de contenção que evite a saída do leito carroçável";"Colisão com objeto";"Sem Vítimas";"Pleno dia";"Crescente";"Céu Claro";"Dupla";"Reta";"Sim";1;0;0;0;0;1;0;1;-16,45928621;-54,66092345;"SR-MT";"UOP01";"DEL02"
331809;2021-01-01;"sexta";"10:00:00";"RJ";116;"65.9";"TERESOPOLIS";"Ausência de reação do condutor";"Queda de ocupante de veículo";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Nublado";"Simples";"Reta";"Sim";2;0;0;1;1;0;1;1;-22,27707804;-42,92764378;"SR-RJ";"UOP01";"DEL04"
331810;2021-01-01;"sexta";"10:40:00";"RS";290;"25";"SANTO ANTONIO DA PATRULHA";"Manobra de mudança de faixa";"Colisão lateral";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Sol";"Múltipla";"Reta";"Não";2;0;1;0;1;0;1;2;-29,88022;-50,509884;"SR-RS";"UOP01";"DEL03"
331811;2021-01-01;"sexta";"10:30:00";"RJ";356;"92";"CARDOSO MOREIRA";"Mal súbito do condutor";"Saída de leito carroçável";"Com Vítimas Fatais";"Pleno dia";"Crescente";"Céu Claro";"Simples";"Curva";"Não";1;1;0;0;0;0;0;1;-21,51467241;-41,59282404;"SR-RJ";"UOP03";"DEL08"
331812;2021-01-01;"sexta";"10:30:00";"PR";277;"113";"CAMPO LARGO";"Avarias e/ou desgaste excessivo no pneu";"Saída de leito carroçável";"Sem Vítimas";"Pleno dia";"Decrescente";"Nublado";"Dupla";"Reta";"Não";1;0;0;0;1;0;0;1;-25,447047;-49,482111;"SR-PR";"UOP06";"DEL01"
331813;2021-01-01;"sexta";"11:00:00";"SC";470;"63";"BLUMENAU";"Condutor deixou de manter distância do veículo da frente";"Colisão lateral";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Céu Claro";"Simples";"Curva";"Não";3;0;2;0;0;1;2;2;-26,872396;-49,19228;"SR-SC";"UOP01";"DEL04"
331814;2021-01-01;"sexta";"11:30:00";"SC";470;"54.4";"BLUMENAU";"Sinalização mal posicionada";"Colisão transversal";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Nublado";"Simples";"Interseção de vias";"Sim";2;0;1;0;1;0;1;2;-26,871065;-49,110374;"SR-SC";"UOP01";"DEL04"
331815;2021-01-01;"sexta";"10:10:00";"CE";222;"128.5";"ITAPAJE";"Velocidade Incompatível";"Tombamento";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Céu Claro";"Simples";"Curva";"Não";3;0;2;0;0;1;2;2;-3,707626;-39,623509;"SR-CE";"UOP03";"DEL04"
331816;2021-01-01;"sexta";"11:30:00";"AL";101;"135";"SAO MIGUEL DOS CAMPOS";"Velocidade Incompatível";"Saída de leito carroçável";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Céu Claro";"Simples";"Reta";"Sim";1;0;0;1;0;0;1;1;-9,78834902;-36,10509283;"SR-AL";"UOP01";"DEL02"
331817;2021-01-01;"sexta";"10:20:00";"RR";401;"7";"BOA VISTA";"Condutor Dormindo";"Saída de leito carroçável";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Céu Claro";"Dupla";"Reta";"Não";1;0;0;1;0;0;1;1;2,796781;-60,636566;"SR-RR";"UOP01";"DEL01"
331818;2021-01-01;"sexta";"12:03:00";"SP";116;"541";"BARRA DO TURVO";"Pista Escorregadia";"Colisão com objeto";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Garoa/Chuvisco";"Dupla";"Curva";"Não";2;0;1;0;1;0;1;1;-24,97245688;-48,39976606;"SR-SP";"UOP02";"DEL05"
331819;2021-01-01;"sexta";"12:10:00";"PR";116;"4";"CAMPINA GRANDE DO SUL";"Velocidade Incompatível";"Saída de leito carroçável";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Chuva";"Dupla";"Curva";"Não";4;0;2;0;2;0;2;1;-25,07606967;-48,5937452;"SR-PR";"UOP02";"DEL01"
331820;2021-01-01;"sexta";"12:20:00";"RS";386;"331.7";"MARQUES DE SOUZA";"Transitar na contramão";"Colisão frontal";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Sol";"Simples";"Reta";"Não";5;0;0;1;3;1;1;2;-29,355341;-52,069054;"SR-RS";"UOP01";"DEL04"
331821;2021-01-01;"sexta";"11:55:00";"MS";163;"457.7";"CAMPO GRANDE";"Ingestão de álcool pelo condutor";"Saída de leito carroçável";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Céu Claro";"Simples";"Reta";"Não";1;0;1;0;0;0;1;1;-20,660193;-54,561644;"SR-MS";"UOP01";"DEL01"
331823;2021-01-01;"sexta";"12:30:00";"RJ";493;"18";"MAGE";"Ingestão de álcool e/ou substâncias psicoativas pelo pedestre";"Colisão lateral";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Nublado";"Simples";"Curva";"Sim";2;0;1;0;1;0;1;2;-22,6687122;-43,01862696;"SR-RJ";"UOP04";"DEL02"
331824;2021-01-01;"sexta";"13:00:00";"PR";116;"16.8";"CAMPINA GRANDE DO SUL";"Velocidade Incompatível";"Saída de leito carroçável";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Chuva";"Dupla";"Não Informado";"Não";3;0;1;0;2;0;1;1;-25,09969807;-48,692225;"SR-PR";"UOP02";"DEL01"
331825;2021-01-01;"sexta";"12:30:00";"CE";116;"11";"FORTALEZA";"Reação tardia ou ineficiente do condutor";"Colisão traseira";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Céu Claro";"Múltipla";"Reta";"Sim";2;0;1;0;1;0;1;2;-3,84394724;-38,49891546;"SR-CE";"UOP02";"DEL01"
331827;2021-01-01;"sexta";"13:10:00";"MG";381;"447";"SANTA LUZIA";"Velocidade Incompatível";"Saída de leito carroçável";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Céu Claro";"Simples";"Curva";"Não";2;0;1;0;0;1;1;1;-19,83447607;-43,85011601;"SR-MG";"UOP01";"DEL01"
331828;2021-01-01;"sexta";"13:47:00";"SC";470;"128";"LONTRAS";"Transitar na contramão";"Saída de leito carroçável";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Nublado";"Simples";"Curva";"Não";3;0;1;1;0;1;2;1;-27,143742;-49,548897;"SR-SC";"UOP02";"DEL04"
331829;2021-01-01;"sexta";"13:55:00";"CE";20;"349.6";"CARIDADE";"Ingestão de álcool pelo condutor";"Colisão traseira";"Sem Vítimas";"Pleno dia";"Decrescente";"Céu Claro";"Simples";"Reta";"Não";2;0;0;0;2;0;0;2;-4,094943;-39,055965;"SR-CE";"UOP01";"DEL02"
331830;2021-01-01;"sexta";"14:00:00";"SP";381;"52";"MAIRIPORA";"Velocidade Incompatível";"Capotamento";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Céu Claro";"Múltipla";"Não Informado";"Sim";4;0;4;0;0;0;4;1;-23,2300622;-46,59963076;"SR-SP";"UOP01";"DEL03"
331833;2021-01-01;"sexta";"14:15:00";"PR";116;"16.8";"CAMPINA GRANDE DO SUL";"Chuva";"Saída de leito carroçável";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Chuva";"Dupla";"Curva";"Não";1;0;0;1;0;0;1;1;-25,1025486;-48,7002743;"SR-PR";"UOP02";"DEL01"
331834;2021-01-01;"sexta";"13:50:00";"PR";369;"136.7";"IBIPORA";"Desrespeitar a preferência no cruzamento";"Colisão transversal";"Sem Vítimas";"Pleno dia";"Decrescente";"Nublado";"Simples";"Rotatória";"Sim";2;0;0;0;2;0;0;2;-23,270278;-51,038823;"SR-PR";"UOP01";"DEL07"
331835;2021-01-01;"sexta";"14:00:00";"SC";101;"51.2";"JOINVILLE";"Velocidade Incompatível";"Saída de leito carroçável";"Sem Vítimas";"Pleno dia";"Crescente";"Garoa/Chuvisco";"Simples";"Não Informado";"Não";3;0;0;0;3;0;0;1;-26,41670805;-48,8336277;"SR-SC";"UOP01";"DEL03"
331836;2021-01-01;"sexta";"14:30:00";"RS";290;"80.7";"GRAVATAI";"Reação tardia ou ineficiente do condutor";"Colisão traseira";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Céu Claro";"Dupla";"Reta";"Sim";2;0;1;0;1;0;1;2;-29,95343;-51,058449;"SR-RS";"UOP01";"DEL01"
